,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..how.S.topic.communication,NP.V.PP.recipient.how.S,NP.V.PP.comp.S,NP.V.to.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..how.S.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..how.S_INF.topic,NP.V.PP.recipient.how.S_INF,NP.V.PP.comp.S,NP.V.to.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S,NP.OR..animate.organization..V.to.NP.OR..animate.organization..how.S_INF,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S_INF.topic
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..how.S_INF.topic.communication,NP.V.PP.recipient.how.S_INF,NP.V.PP.comp.S,NP.V.to.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..how.S_INF.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S_INF.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..that.S.topic,NP.V.PP.recipient.that.S,NP.V.PP.comp.S,NP.V.to.NP.that.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.that.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..that.S,NP.OR..animate.organization..V.to.NP.OR..animate.organization..that.S,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..that.S.topic
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..that.S.topic.communication,NP.V.PP.recipient.that.S,NP.V.PP.comp.S,NP.V.to.NP.that.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.that.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..that.S.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..that.S.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..that.S.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..what.S.topic.communication,NP.V.PP.recipient.what.S,NP.V.PP.comp.S,NP.V.to.NP.what.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.what.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..what.S.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..what.S.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..what.S.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..what.S_INF.topic.communication,NP.V.PP.recipient.what.S_INF,NP.V.PP.comp.S,NP.V.to.NP.what.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.what.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..what.S.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..what.S_INF.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..what.S_INF.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..when.S_INF.topic.communication,NP.V.PP.recipient.when.S_INF,NP.V.PP.comp.S,NP.V.to.NP.when.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.when.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..when.S.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..when.S_INF.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..when.S_INF.topic.communication
NP.agent.OR..animate.organization..V.to.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.theme,NP.agent.V.to.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.to.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.to.S_ING.goal,NP.V.S_ING,NP.V.S,NP.V.to.S,NP.agent.V.S.goal,NP.agent.V.to.S.goal,NP.OR..animate.organization..V.S,NP.OR..animate.organization..V.to.S_ING,NP.agent.OR..animate.organization..V.S_ING.goal
NP.agent.OR..animate.organization..V.together,NP.V.together,NP.V.together,NP.V.together,NP.agent.V.together,NP.agent.V.together,NP.OR..animate.organization..V.together,NP.OR..animate.organization..V.together,NP.agent.OR..animate.organization..V.together
NP.agent.OR..animate.organization..V.towards.NP.recipient.OR..animate.organization.,NP.V.PP.recipient,NP.V.PP,NP.V.towards.NP,NP.agent.V.PP.recipient,NP.agent.V.towards.NP.recipient,NP.OR..animate.organization..V.PP.OR..animate.organization.,NP.OR..animate.organization..V.towards.NP.OR..animate.organization.,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization.
NP.agent.OR..animate.organization..V.towards.NP.recipient.OR..animate.organization..S.Quote.topic.communication,NP.V.PP.recipient.S.Quote,NP.V.PP.S,NP.V.towards.NP.S,NP.agent.V.PP.recipient.S.topic,NP.agent.V.towards.NP.recipient.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..S.Quote.communication,NP.OR..animate.organization..V.towards.NP.OR..animate.organization..S.Quote.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..S.Quote.topic.communication
NP.agent.OR..animate.organization..V.towards.NP.recipient.OR..animate.organization..S_INF.topic.communication,NP.V.PP.recipient.S_INF,NP.V.PP.S,NP.V.towards.NP.S,NP.agent.V.PP.recipient.S.topic,NP.agent.V.towards.NP.recipient.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..S.communication,NP.OR..animate.organization..V.towards.NP.OR..animate.organization..S_INF.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..S_INF.topic.communication
NP.agent.OR..animate.organization..V.towards.NP.recipient.OR..animate.organization..how.S_INF.topic.communication,NP.V.PP.recipient.how.S_INF,NP.V.PP.comp.S,NP.V.towards.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.towards.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S.communication,NP.OR..animate.organization..V.towards.NP.OR..animate.organization..how.S_INF.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S_INF.topic.communication
NP.agent.OR..animate.organization..V.towards.NP.recipient.OR..animate.organization..that.S.topic.communication,NP.V.PP.recipient.that.S,NP.V.PP.comp.S,NP.V.towards.NP.that.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.towards.NP.recipient.that.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..that.S.communication,NP.OR..animate.organization..V.towards.NP.OR..animate.organization..that.S.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..that.S.topic.communication
NP.agent.OR..animate.organization..V.under.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.under.NP,NP.agent.V.PP.theme,NP.agent.V.under.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.under.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.underneath.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.underneath.NP,NP.agent.V.PP.theme,NP.agent.V.underneath.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.underneath.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.until.NP.time.time,NP.V.PP.time,NP.V.PP,NP.V.until.NP,NP.agent.V.PP.time,NP.agent.V.until.NP.time,NP.OR..animate.organization..V.PP.time,NP.OR..animate.organization..V.until.NP.time,NP.agent.OR..animate.organization..V.PP.time.time
NP.agent.OR..animate.organization..V.upon.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.upon.NP,NP.agent.V.PP.theme,NP.agent.V.upon.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.upon.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.what.S.theme,NP.V.what.S,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.theme,NP.agent.V.what.S.theme,NP.OR..animate.organization..V.what.S,NP.OR..animate.organization..V.what.S,NP.agent.OR..animate.organization..V.what.S.theme
NP.agent.OR..animate.organization..V.what.S.theme.OR..concrete.organization.,NP.V.what.S,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.theme,NP.agent.V.what.S.theme,NP.OR..animate.organization..V.what.S.OR..concrete.organization.,NP.OR..animate.organization..V.what.S.OR..concrete.organization.,NP.agent.OR..animate.organization..V.what.S.theme.OR..concrete.organization.
NP.agent.OR..animate.organization..V.what.S.topic,NP.V.what.S,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.topic,NP.agent.V.what.S.topic,NP.OR..animate.organization..V.what.S,NP.OR..animate.organization..V.what.S,NP.agent.OR..animate.organization..V.what.S.topic
NP.agent.OR..animate.organization..V.what.S.topic.communication,NP.V.what.S,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.topic,NP.agent.V.what.S.topic,NP.OR..animate.organization..V.what.S.communication,NP.OR..animate.organization..V.what.S.communication,NP.agent.OR..animate.organization..V.what.S.topic.communication
NP.agent.OR..animate.organization..V.what.S_INF.theme,NP.V.what.S_INF,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.theme,NP.agent.V.what.S.theme,NP.OR..animate.organization..V.what.S,NP.OR..animate.organization..V.what.S_INF,NP.agent.OR..animate.organization..V.what.S_INF.theme
NP.agent.OR..animate.organization..V.what.S_INF.theme.OR..concrete.organization.,NP.V.what.S_INF,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.theme,NP.agent.V.what.S.theme,NP.OR..animate.organization..V.what.S.OR..concrete.organization.,NP.OR..animate.organization..V.what.S_INF.OR..concrete.organization.,NP.agent.OR..animate.organization..V.what.S_INF.theme.OR..concrete.organization.
NP.agent.OR..animate.organization..V.what.S_INF.topic,NP.V.what.S_INF,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.topic,NP.agent.V.what.S.topic,NP.OR..animate.organization..V.what.S,NP.OR..animate.organization..V.what.S_INF,NP.agent.OR..animate.organization..V.what.S_INF.topic
NP.agent.OR..animate.organization..V.what.S_INF.topic.communication,NP.V.what.S_INF,NP.V.comp.S,NP.V.what.S,NP.agent.V.comp.S.topic,NP.agent.V.what.S.topic,NP.OR..animate.organization..V.what.S.communication,NP.OR..animate.organization..V.what.S_INF.communication,NP.agent.OR..animate.organization..V.what.S_INF.topic.communication
NP.agent.OR..animate.organization..V.when.S_INF.topic.communication,NP.V.when.S_INF,NP.V.comp.S,NP.V.when.S,NP.agent.V.comp.S.topic,NP.agent.V.when.S.topic,NP.OR..animate.organization..V.when.S.communication,NP.OR..animate.organization..V.when.S_INF.communication,NP.agent.OR..animate.organization..V.when.S_INF.topic.communication
NP.agent.OR..animate.organization..V.whether.S.topic,NP.V.whether.S,NP.V.comp.S,NP.V.whether.S,NP.agent.V.comp.S.topic,NP.agent.V.whether.S.topic,NP.OR..animate.organization..V.whether.S,NP.OR..animate.organization..V.whether.S,NP.agent.OR..animate.organization..V.whether.S.topic
NP.agent.OR..animate.organization..V.whether.S_INF.theme,NP.V.whether.S_INF,NP.V.comp.S,NP.V.whether.S,NP.agent.V.comp.S.theme,NP.agent.V.whether.S.theme,NP.OR..animate.organization..V.whether.S,NP.OR..animate.organization..V.whether.S_INF,NP.agent.OR..animate.organization..V.whether.S_INF.theme
NP.agent.OR..animate.organization..V.whether.S_INF.topic,NP.V.whether.S_INF,NP.V.comp.S,NP.V.whether.S,NP.agent.V.comp.S.topic,NP.agent.V.whether.S.topic,NP.OR..animate.organization..V.whether.S,NP.OR..animate.organization..V.whether.S_INF,NP.agent.OR..animate.organization..V.whether.S_INF.topic
NP.agent.OR..animate.organization..V.whether.if.S.theme,NP.V.whether.if.S,NP.V.comp.S,NP.V.whether.if.S,NP.agent.V.comp.S.theme,NP.agent.V.whether.if.S.theme,NP.OR..animate.organization..V.whether.if.S,NP.OR..animate.organization..V.whether.if.S,NP.agent.OR..animate.organization..V.whether.if.S.theme
NP.agent.OR..animate.organization..V.whether.if.S.theme.OR..concrete.organization.,NP.V.whether.if.S,NP.V.comp.S,NP.V.whether.if.S,NP.agent.V.comp.S.theme,NP.agent.V.whether.if.S.theme,NP.OR..animate.organization..V.whether.if.S.OR..concrete.organization.,NP.OR..animate.organization..V.whether.if.S.OR..concrete.organization.,NP.agent.OR..animate.organization..V.whether.if.S.theme.OR..concrete.organization.
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization.,NP.V.PP.co.agent,NP.V.PP,NP.V.with.NP,NP.agent.V.PP.co.agent,NP.agent.V.with.NP.co.agent,NP.OR..animate.organization..V.PP.OR..animate.organization.,NP.OR..animate.organization..V.with.NP.OR..animate.organization.,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization.
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.theme,NP.V.PP.co.agent.PP.theme,NP.V.PP.PP,NP.V.with.NP.about.NP,NP.agent.V.PP.co.agent.PP.theme,NP.agent.V.with.NP.co.agent.about.NP.theme,NP.OR..animate.organization..V.PP.OR..animate.organization..PP,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.theme
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.theme.what.S,NP.V.PP.co.agent.PP.theme.what.S,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.what.S,NP.agent.V.PP.co.agent.PP.theme.comp.S,NP.agent.V.with.NP.co.agent.about.NP.theme.what.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.what.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.what.S,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.theme.what.S
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.theme.what.S_INF,NP.V.PP.co.agent.PP.theme.what.S_INF,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.what.S,NP.agent.V.PP.co.agent.PP.theme.comp.S,NP.agent.V.with.NP.co.agent.about.NP.theme.what.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.what.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.what.S_INF,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.theme.what.S_INF
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.theme.whether.S,NP.V.PP.co.agent.PP.theme.whether.S,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.whether.S,NP.agent.V.PP.co.agent.PP.theme.comp.S,NP.agent.V.with.NP.co.agent.about.NP.theme.whether.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.whether.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.whether.S,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.theme.whether.S
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.theme.whether.S_INF,NP.V.PP.co.agent.PP.theme.whether.S_INF,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.whether.S,NP.agent.V.PP.co.agent.PP.theme.comp.S,NP.agent.V.with.NP.co.agent.about.NP.theme.whether.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.whether.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.whether.S_INF,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.theme.whether.S_INF
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.topic,NP.V.PP.co.agent.PP.topic,NP.V.PP.PP,NP.V.with.NP.about.NP,NP.agent.V.PP.co.agent.PP.topic,NP.agent.V.with.NP.co.agent.about.NP.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..PP,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.topic
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.topic.what.S,NP.V.PP.co.agent.PP.topic.what.S,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.what.S,NP.agent.V.PP.co.agent.PP.topic.comp.S,NP.agent.V.with.NP.co.agent.about.NP.topic.what.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.what.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.what.S,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.topic.what.S
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.topic.what.S_INF,NP.V.PP.co.agent.PP.topic.what.S_INF,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.what.S,NP.agent.V.PP.co.agent.PP.topic.comp.S,NP.agent.V.with.NP.co.agent.about.NP.topic.what.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.what.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.what.S_INF,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.topic.what.S_INF
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.topic.whether.S_INF,NP.V.PP.co.agent.PP.topic.whether.S_INF,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.whether.S,NP.agent.V.PP.co.agent.PP.topic.comp.S,NP.agent.V.with.NP.co.agent.about.NP.topic.whether.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.whether.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.whether.S_INF,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.topic.whether.S_INF
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.topic.whether.if.S,NP.V.PP.co.agent.PP.topic.whether.if.S,NP.V.PP.PP.comp.S,NP.V.with.NP.about.NP.whether.if.S,NP.agent.V.PP.co.agent.PP.topic.comp.S,NP.agent.V.with.NP.co.agent.about.NP.topic.whether.if.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.whether.if.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.whether.if.S,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.topic.whether.if.S
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..about.NP.topic.communication,NP.V.PP.co.agent.PP.topic,NP.V.PP.PP,NP.V.with.NP.about.NP,NP.agent.V.PP.co.agent.PP.topic,NP.agent.V.with.NP.co.agent.about.NP.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.communication,NP.OR..animate.organization..V.with.NP.OR..animate.organization..about.NP.communication,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.topic.communication
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..at.NP.theme.S_ING,NP.V.PP.co.agent.PP.theme.S_ING,NP.V.PP.PP.S,NP.V.with.NP.at.NP.S,NP.agent.V.PP.co.agent.PP.theme.S,NP.agent.V.with.NP.co.agent.at.NP.theme.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..at.NP.S_ING,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.theme.S_ING
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..how.S.theme,NP.V.PP.co.agent.how.S,NP.V.PP.comp.S,NP.V.with.NP.how.S,NP.agent.V.PP.co.agent.comp.S.theme,NP.agent.V.with.NP.co.agent.how.S.theme,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..how.S,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..how.S.theme
NP.agent.OR..animate.organization..V.with.NP.co.agent.OR..animate.organization..how.S_INF.theme,NP.V.PP.co.agent.how.S_INF,NP.V.PP.comp.S,NP.V.with.NP.how.S,NP.agent.V.PP.co.agent.comp.S.theme,NP.agent.V.with.NP.co.agent.how.S.theme,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S,NP.OR..animate.organization..V.with.NP.OR..animate.organization..how.S_INF,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..how.S_INF.theme
